Timestamp,UserID,Event Name,UUID,Param/player,Param/event,Param/initialRotationAngle,Param/totalAngleTraversed,Param/proportionalForce,Param/position,Param/rotation,Param/matchTime,Param/WinnerID,Param/P1_ShotsFired,Param/P2_ShotsFired,Param/P1_MaxRotationSpeed,Param/P2_MaxRotationSpeed,Param/P1_TotalTorqueApplied,Param/P2_TotalTorqueApplied,Param/P1_AverageSpeed,Param/P2_AverageSpeed,Param/P1_ButtonPressesPerShot,Param/P2_ButtonPressesPerShot
2/12/2024 15:31:21,NULL,WeaponAimed,6ebe67c32e389b662bdf799e7c448270,Player1,WeaponAimed,0,,,,,,,,,,,,,,,,
2/12/2024 15:31:21,NULL,WeaponAimed,6ebe67c32e389b662bdf799e7c448270,Player1,WeaponAimed,-32.1101,,,,,,,,,,,,,,,,
2/12/2024 15:31:22,NULL,EndTorqueApplied,74c2ecf14003ba246942f813b12627f2,Player1,EndTorqueApplied,,92.1101,5.37308931,,,,,,,,,,,,,,
2/12/2024 15:31:23,NULL,WeaponAimed,c8c7a6ca88d6de8bec4210d465364965,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,
2/12/2024 15:31:23,NULL,WeaponAimed,c8c7a6ca88d6de8bec4210d465364965,Player1,WeaponAimed,-5.51681757,,,,,,,,,,,,,,,,
2/12/2024 15:31:24,NULL,EndTorqueApplied,8d0817fff4c5586edec3480cfe651a2f,Player1,EndTorqueApplied,,54.48318,3.17818546,,,,,,,,,,,,,,
2/12/2024 15:32:11,NULL,WeaponAimed,70b84032a70bda6e3a7ec35ac3ac4a25,Player1,WeaponAimed,0,,,,,,,,,,,,,,,,
2/12/2024 15:32:12,NULL,WeaponAimed,a968119627aa142ec7083f16ced0ed56,Player1,WeaponAimed,25.40612,,,,,,,,,,,,,,,,
2/12/2024 15:32:12,NULL,WeaponAimed,a968119627aa142ec7083f16ced0ed56,Player1,WeaponAimed,55.83665,,,,,,,,,,,,,,,,
2/12/2024 15:32:13,NULL,WeaponAimed,e48fdd8d5961a3ea9bba6d25134f318b,Player1,WeaponAimed,33.44248,,,,,,,,,,,,,,,,
2/12/2024 15:32:14,NULL,WeaponAimed,123c9c584a75caba976dabb57b782c9e,Player1,WeaponAimed,51.1974,,,,,,,,,,,,,,,,
2/12/2024 15:32:14,NULL,EndTorqueApplied,8f493681343fe021fb8578b5e8c196ee,Player1,EndTorqueApplied,,8.802597,0.5134848,,,,,,,,,,,,,,
2/12/2024 15:32:15,NULL,WeaponAimed,942a29204e890a861f1beaaca93df109,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,
2/12/2024 15:32:15,NULL,WeaponAimed,942a29204e890a861f1beaaca93df109,Player1,WeaponAimed,47.3583,,,,,,,,,,,,,,,,
2/12/2024 15:32:15,NULL,EndTorqueApplied,249e68d5aa781dd12b279cf6a58b292b,Player1,EndTorqueApplied,,12.6417,0.7374325,,,,,,,,,,,,,,
2/12/2024 15:32:16,NULL,Player1Shot,19d16a98a006b62b5916052d44ea32b2,Player1,Player1Shot,,,,(-2.32, -0.11, 0.00),(0.00, 180.00, 175.81),,,,,,,,,,,,
2/12/2024 15:32:16,NULL,RoundComplete,c6dabbe43aa6310c3bfafdba5a4913f5,,,,,,,,3.205002,1,1,0,91.76843,0,1.250917,0,0,0,1,0
